2020;18;2020.05.01.;0;90 000 000 EUR;0;6 104 297 EUR;0;40 870 815 Ft;2;1 205 605 Ft;14;77 085 Ft;25;35 160 Ft;58;17 045 Ft;990;5 440 Ft;692;7 360 Ft;1847;4 495 Ft;3307;3 775 Ft;13792;2 515 Ft;6;11;12;21;41;1;2
2020;17;2020.04.24.;0;0 EUR;0;3 920 309 EUR;0;39 650 400 Ft;0;1 554 890 Ft;20;79 975 Ft;40;34 625 Ft;40;19 815 Ft;825;5 755 Ft;743;7 075 Ft;1670;4 530 Ft;3697;3 430 Ft;13432;2 515 Ft;6;13;15;34;35;1;5
2020;16;2020.04.17.;0;0 EUR;0;7 331 310 EUR;0;33 788 590 Ft;0;1 769 850 Ft;18;88 280 Ft;39;37 520 Ft;64;19 245 Ft;974;6 100 Ft;891;6 480 Ft;1788;4 780 Ft;4326;3 020 Ft;13920;2 545 Ft;1;18;23;33;41;2;6
2020;15;2020.04.10.;0;0 EUR;0;5 202 243 EUR;0;26 725 235 Ft;4;1 838 220 Ft;20;86 770 Ft;28;43 120 Ft;59;21 260 Ft;1061;5 565 Ft;731;7 330 Ft;1407;5 345 Ft;3744;3 460 Ft;17633;2 325 Ft;2;7;8;43;50;2;3
2020;14;2020.04.03.;0;0 EUR;0;4 958 270 EUR;0;48 839 775 Ft;0;2 071 990 Ft;19;98 690 Ft;40;39 060 Ft;53;25 380 Ft;777;6 855 Ft;528;8 870 Ft;1519;5 030 Ft;2804;4 090 Ft;11407;2 860 Ft;3;21;26;40;41;8;10
2020;13;2020.03.27.;0;0 EUR;0;659 116 EUR;0;47 456 345 Ft;3;887 035 Ft;39;63 130 Ft;50;31 395 Ft;156;11 935 Ft;1443;4 650 Ft;1696;4 650 Ft;2106;4 375 Ft;7493;2 265 Ft;18291;2 235 Ft;13;19;23;34;41;3;8
2020;12;2020.03.20.;0;0 EUR;1;586 260 EUR;0;18 940 695 Ft;0;1 243 580 Ft;34;67 890 Ft;44;28 265 Ft;58;19 635 Ft;1221;5 205 Ft;784;7 440 Ft;2141;4 015 Ft;4122;3 570 Ft;15383;2 380 Ft;9;14;28;30;37;3;10
2020;11;2020.03.13.;0;0 EUR;1;832 409 EUR;0;32 776 080 Ft;0;1 560 745 Ft;41;68 575 Ft;55;36 950 Ft;55;19 545 Ft;1599;5 145 Ft;929;6 900 Ft;2095;4 880 Ft;4510;3 215 Ft;21132;2 260 Ft;1;17;29;39;42;7;8
2020;10;2020.03.06.;0;0 EUR;0;1 133 050 EUR;0;79 313 530 Ft;0;1 525 255 Ft;20;91 750 Ft;26;38 825 Ft;52;22 195 Ft;798;6 365 Ft;732;7 290 Ft;1584;4 730 Ft;4129;3 480 Ft;12184;2 650 Ft;15;19;35;36;41;5;10
2020;9;2020.02.28.;0;0 EUR;0;514 666 EUR;0;30 879 965 Ft;3;935 755 Ft;32;61 790 Ft;88;25 615 Ft;58;15 915 Ft;1258;4 610 Ft;837;5 980 Ft;2845;3 720 Ft;3752;3 035 Ft;15486;2 170 Ft;12;22;24;29;38;5;6
